CPT_CODE,CPT_LONG_DESCRIPTION,CPT_SHORT_DESCRIPTION
00100,"ANESTHESIA FOR PROCEDURES ON SALIVARY GLANDS, INCLUDING BIOPSY","ANESTH, SALIVARY GLAND"
00102,ANESTHESIA FOR PROCEDURES ON PLASTIC REPAIR OF CLEFT LIP,"ANESTH, REPAIR OF CLEFT LIP"
00103,"ANESTHESIA FOR RECONSTRUCTIVE PROCEDURES OF EYELID (EG, BLEPHAROPLASTY, PTOSIS SURGERY)","ANESTH, BLEPHAROPLASTY"
00104,ANESTHESIA FOR ELECTROCONVULSIVE THERAPY,"ANESTH, ELECTROSHOCK"
00120,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  NOT OTHERWISE SPECIFIED","ANESTH, EAR SURGERY"
00124,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  OTOSCOPY","ANESTH, EAR EXAM"
00126,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  TYMPANOTOMY","ANESTH, TYMPANOTOMY"
00140,ANESTHESIA FOR PROCEDURES ON EYE  NOT OTHERWISE SPECIFIED,"ANESTH, PROCEDURES ON EYE"
00142,ANESTHESIA FOR PROCEDURES ON EYE  LENS SURGERY,"ANESTH, LENS SURGERY"
00144,ANESTHESIA FOR PROCEDURES ON EYE  CORNEAL TRANSPLANT,"ANESTH, CORNEAL TRANSPLANT"
00145,ANESTHESIA FOR PROCEDURES ON EYE  VITREORETINAL SURGERY,"ANESTHES,VITREORETINAL SURGERY"
00147,ANESTHESIA FOR PROCEDURES ON EYE  IRIDECTOMY,"ANESTH, IRIDECTOMY"
00148,ANESTHESIA FOR PROCEDURES ON EYE  OPHTHALMOSCOPY,"ANESTH, EYE EXAM"
00160,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES NOT OTHERWISE SPECIFIED,"ANESTH, NOSE/SINUS SURGERY"
00162,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES RADICAL SURGERY,"ANESTH, NOSE/SINUS SURGERY"
00164,"ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES BIOPSY, SOFT TISSUE","ANESTH, BIOPSY OF NOSE"
00170,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY NOT OTHERWISE SPECIFIED","ANESTH, PROCEDURE ON MOUTH"
00172,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY REPAIR OF CLEFT PALATE","ANESTH, CLEFT PALATE REPAIR"
00174,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY EXCISION OF RETROPHARYNGEAL TUMOR","ANESTH, PHARYNGEAL SURGERY"
00176,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY RADICAL SURGERY","ANESTH, PHARYNGEAL SURGERY"
00190,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL NOT OTHERWISE SPECIFIED,"ANES,FACIAL BONE/SKULL NOS"
00192,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL RADICAL SURGERY (INCLUDING PROGNATHISM),"ANES,FACE BNE/SKULL RADCL SURG"
00210,ANESTHESIA FOR INTRACRANIAL PROCEDURES NOT OTHERWISE SPECIFIED,"ANESTH, OPEN HEAD SURGERY"
00212,ANESTHESIA FOR INTRACRANIAL PROCEDURES SUBDURAL TAPS,"ANESTH, SKULL DRAINAGE"
00214,"ANESTHESIA FOR INTRACRANIAL PROCEDURES BURR HOLES, INCLUDING VENTRICULOGRAPHY","ANESTH, SKULL DRAINAGE"
00215,"ANESTHESIA FOR INTRACRANIAL PROCEDURES CRANIOPLASTY OR ELEVATION OF DEPRESSED SKULL FRACTURE, EXTRADURAL (SIMPLE OR COMPOUND)","ANES INTRACRN CRANIOPLS,XTRADR"
00216,ANESTHESIA FOR INTRACRANIAL PROCEDURES VASCULAR PROCEDURES,"ANESTH, HEAD VESSEL SURGERY"
00218,ANESTHESIA FOR INTRACRANIAL PROCEDURES PROCEDURES IN SITTING POSITION,"ANESTH, SPECIAL HEAD SURGERY"
00220,ANESTHESIA FOR INTRACRANIAL PROCEDURES CEREBROSPINAL FLUID SHUNTING PROCEDURES,"ANESTH, INTRCRN NERVE"
00222,ANESTHESIA FOR INTRACRANIAL PROCEDURES ELECTROCOAGULATION OF INTRACRANIAL NERVE,"ANESTH, HEAD NERVE SURGERY"
00300,"ANESTHESIA FOR ALL PROCEDURES ON THE INTEGUMENTARY SYSTEM, MUSCLES AND NERVES OF HEAD, NECK, AND POSTERIOR TRUNK, NOT OTHERWISE SPECIFIED","ANESTH, HEAD/NECK/PTRUNK"
00539,ANESTHESIA FOR TRACHEOBRONCHIAL RECONSTRUCTION,"ANES, TRACHEOBRONCH RECONS",
00540,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORASCOSCOPY) NOT OTHERWISE SPE","ANESTH, CHEST SURGERY",IED
00541,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY) UTILIZING ONE LUNG","ANESTH, ONE LUNG VENTILATION",NTILATION
00542,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM DECORTICATION","ANESTH, RELEASE OF LUNG",
00544,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM PLEURECTOMY","ANESTH, CHEST LINING REMOVAL",
00546,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM PULMONARY RESECTION WITH THORACOPLASTY","ANESTH, LUNG,CHEST WALL SURG",
00548,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY) INTRATHORACIC PROC","ANESTH, TRACHEA,BRONCHI SURG",RES ON THE TRACHEA AND BRONCHI
00550,ANESTHESIA FOR STERNAL DEBRIDEMENT,ANES FOR STERNAL DEBRIDEMENT
00560,"ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST WITHOUT PUMP OXYGENATOR","ANESTH, OPEN HEART SURGERY"
00562,"ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST WITH PUMP OXYGENATOR","ANESTH, OPEN HEART SURGERY"
00563,"ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST WITH PUMP OXYGENATOR WITH HYPOTHERMIC CIRCULATORY ARREST","ANESTH, HEART PROC W/PUMP"
00566,ANESTHESIA FOR DIRECT CORONARY ARTERY BYPASS GRAFTING WITHOUT PUMP OXYGENATOR,ANES COR ART BYP GF WO PMP OXY
00580,ANESTHESIA FOR HEART TRANSPLANT OR HEART/LUNG TRANSPLANT,ANESTH HEART/LUNG TRANSPLANT
00600,ANESTHESIA FOR PROCEDURES ON CERVICAL SPINE AND CORD NOT OTHERWISE SPECIFIED,"ANESTH, SPINE, CORD SURGERY"
00604,ANESTHESIA FOR PROCEDURES ON CERVICAL SPINE AND CORD PROCEDURES WITH PATIENT IN THE SITTING POSITION,"ANES,PROC,CERVCL SPN & CORD"
00620,ANESTHESIA FOR PROCEDURES ON THORACIC SPINE AND CORD NOT OTHERWISE SPECIFIED,"ANESTH, SPINE, CORD SURGERY"
00622,ANESTHESIA FOR PROCEDURES ON THORACIC SPINE AND CORD THORACOLUMBAR SYMPATHECTOMY,"ANESTH, REMOVAL OF NERVES"
00630,ANESTHESIA FOR PROCEDURES IN LUMBAR REGION NOT OTHERWISE SPECIFIED,"ANESTH, SPINE, CORD SURGERY"
00632,ANESTHESIA FOR PROCEDURES IN LUMBAR REGION LUMBAR SYMPATHECTOMY,"ANESTH, REMOVAL OF NERVES"
00634,ANESTHESIA FOR PROCEDURES IN LUMBAR REGION CHEMONUCLEOLYSIS,ANESTH FOR CHEMONUCLEOLYSIS
00635,ANESTHESIA FOR PROCEDURES IN LUMBAR REGION DIAGNOSTIC OR THERAPEUTIC LUMBAR PUNCTURE,ANES LUMB DIAG/THER LMBR PUNCT
00640,"ANESTHESIA FOR MANIPULATION OF THE SPINE OR FOR CLOSED PROCEDURES ON THE CERVICAL, THORACIC OR LUMBAR SPINE","ANESTH, SPINE MANIPULATION"
00670,"ANESTHESIA FOR EXTENSIVE SPINE AND SPINAL CORD PROCEDURES (EG, SPINAL INSTRUMENTATION OR VASCULAR PROCEDURES)","ANES,XTENSIVE SPINE&SPINL CORD"
00700,ANESTHESIA FOR PROCEDURES ON UPPER ANTERIOR ABDOMINAL WALL NOT OTHERWISE SPECIFIED,"ANESTH, ABDOMINAL WALL SURG",
00702,ANESTHESIA FOR PROCEDURES ON UPPER ANTERIOR ABDOMINAL WALL PERCUTANEOUS LIVER BIOPSY,"ANESTH, FOR LIVER BIOPSY",
00730,ANESTHESIA FOR PROCEDURES ON UPPER POSTERIOR ABDOMINAL WALL,"ANESTH, ABDOMINAL WALL SURG",
00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM","ANESTH, UPPER GI VISUALIZE",
00750,ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN NOT OTHERWISE SPECIFIED,"ANESTH, REPAIR OF HERNIA",
00752,ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN LUMBAR AND VENTRAL (INCISIONAL) HERNIAS AND/OR WOUND DEHISCENCE,"ANESTH, REPAIR OF HERNIA",
00754,ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN OMPHALOCELE,"ANESTH, REPAIR OF HERNIA",
00756,ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN TRANSABDOMINAL REPAIR OF DIAPHRAGMATIC HERNIA,"ANESTH, REPAIR OF HERNIA",
00770,ANESTHESIA FOR ALL PROCEDURES ON MAJOR ABDOMINAL BLOOD VESSELS,"ANESTH, BLOOD VESSEL REPAIR",
00790,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY NOT OTHERWISE SPECIFIED,"ANESTH, SURG UPPER ABDOMEN",
00792,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY PARTIAL HEPATECTOMY OR MANAGEMENT OF LIVER HEMORRHAGE (EXCLUD,ANES INTRPERIT PROC IN UP ABD,LIVER BIOPSY)
00794,"ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY PANCREATECTOMY, PARTIAL OR TOTAL (EG, WHIPPLE PROCEDURE)","ANESTH, PANCREAS REMOVAL",
00796,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY LIVER TRANSPLANT (RECIPIENT),"ANESTH, FOR LIVER TRANSPLANT",
00797,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY GASTRIC RESTRICTIVE PROCEDURE FOR MORBID OBESITY,"ANESTH, SURGERY FOR OBESITY",
00800,ANESTHESIA FOR PROCEDURES ON LOWER ANTERIOR ABDOMINAL WALL NOT OTHERWISE SPECIFIED,"ANESTH, ABDOMINAL WALL SURG",
00802,ANESTHESIA FOR PROCEDURES ON LOWER ANTERIOR ABDOMINAL WALL PANNICULECTOMY,"ANESTH, FAT LAYER REMOVAL",
00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM","ANESTH, LOW INTESTINE SCOPE",
00820,ANESTHESIA FOR PROCEDURES ON LOWER POSTERIOR ABDOMINAL WALL,"ANESTH, ABDOMINAL WALL SURG",
00830,ANESTHESIA FOR HERNIA REPAIRS IN LOWER ABDOMEN NOT OTHERWISE SPECIFIED,"ANESTH, REPAIR OF HERNIA",
00832,ANESTHESIA FOR HERNIA REPAIRS IN LOWER ABDOMEN VENTRAL AND INCISIONAL HERNIAS,"ANESTH, REPAIR OF HERNIA",
00834,"ANESTHESIA FOR HERNIA REPAIRS IN THE LOWER ABDOMEN NOT OTHERWISE SPECIFIED, UNDER 1 YEAR OF AGE","ANESTH, HERNIA REPAIR< 1 YR",
00836,"ANESTHESIA FOR HERNIA REPAIRS IN THE LOWER ABDOMEN NOT OTHERWISE SPECIFIED, INFANTS LESS THAN 37 WEEKS GESTATIONAL AGE AT BIRTH AND LESS THAN 5",ANESTH HERNIA REPAIR PREEMIE,EEKS GESTATIONAL AGE AT TIME OF SURGERY
00840,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY NOT OTHERWISE SPECIFIED,"ANESTH, SURG LOWER ABDOMEN",
00842,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY AMNIOCENTESIS,"ANESTH, AMNIOCENTESIS",
00844,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY ABDOMINOPERINEAL RESECTION,"ANESTH, PELVIS SURGERY",
00846,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY RADICAL HYSTERECTOMY,"ANESTH, HYSTERECTOMY",
00848,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY PELVIC EXENTERATION,"ANESTH, PELVIC ORGAN SURG",
00851,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY TUBAL LIGATION/TRANSECTION,"ANESTH, TUBAL LIGATION",
00860,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT NOT OTHERWISE SPECIFIED","ANESTH, SURGERY OF ABDOMEN",
00862,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT RENAL PROCEDURES, INCLUDING UPPER 1/3 OF URETER, OR DONOR","ANESTH, KIDNEY/URETER SURG",HRECTOMY
00864,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT TOTAL CYSTECTOMY","ANESTH, REMOVAL OF BLADDER",
00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)","ANESTH, REMOVAL OF PROSTATE",
00866,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT ADRENALECTOMY","ANESTH, REMOVAL OF ADRENAL"
00868,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT RENAL TRANSPLANT (RECIPIENT)","ANESTH, KIDNEY TRANSPLANT"
00870,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT CYSTOLITHOTOMY","ANESTH, BLADDER STONE SURG"
00872,"ANESTHESIA FOR LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE WITH WATER BATH",ANESTH KIDNEY STONE DESTRUCT
00873,"ANESTHESIA FOR LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE WITHOUT WATER BATH",ANESTH KIDNEY STONE DESTRUCT
00880,ANESTHESIA FOR PROCEDURES ON MAJOR LOWER ABDOMINAL VESSELS NOT OTHERWISE SPECIFIED,"ANESTH, ABDOMEN VESSEL SURG"
00882,ANESTHESIA FOR PROCEDURES ON MAJOR LOWER ABDOMINAL VESSELS INFERIOR VENA CAVA LIGATION,"ANESTH, MAJOR VEIN LIGATION"
00902,ANESTHESIA FOR ANORECTAL PROCEDURE,"ANESTHESIA,ANORECTAL PROCEDURE"
00904,ANESTHESIA FOR RADICAL PERINEAL PROCEDURE,"ANESTHESIA,RADCL PERINEAL PROC"
00906,ANESTHESIA FOR VULVECTOMY,ANESTHESIA FOR VULVECTOMY
00908,ANESTHESIA FOR PERINEAL PROSTATECTOMY,"ANES,PERINEAL PROSTATECTOMY"
00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY) NOT OTHERWISE SPECIFIED,"ANESTH, BLADDER SURGERY"
00912,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY) TRANSURETHRAL RESECTION OF BLADDER TUMOR(S),"ANESTH, BLADDER TUMOR SURG"
00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY) TRANSURETHRAL RESECTION OF PROSTATE,"ANESTH, REMOVAL OF PROSTATE"
00916,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY) POST-TRANSURETHRAL RESECTION BLEEDING,"ANESTH, BLEEDING CONTROL"
00918,"ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY) WITH FRAGMENTATION, MANIPULATION AND/OR REMOVAL OF URETERAL CALCULUS","ANESTH, STONE REMOVAL"
00920,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES) NOT OTHERWISE SPECIFIED,"ANES,MALE GEN(INC OP URTH) NOS",
