name,rx_dose,conversion_factor,dosage_strength,type
OXAZEPAM 15 MG PO TABS,,0.100,15,2
OXAZEPAM 30 MG PO CAPS,,0.100,30,2
SERAX 10 MG PO CAPS,,0.100,10,2
SERAX 15 MG PO CAPS,,0.100,15,2
SERAX 15 MG PO TABS,,0.100,15,2
SERAX 30 MG PO CAPS,,0.100,30,2
RESTORIL 15 MG PO CAPS,,0.100,15,2
RESTORIL 22.5 MG PO CAPS,,0.100,22.5,2
RESTORIL 30 MG PO CAPS,,0.100,30,2
RESTORIL 7.5 MG PO CAPS,,0.100,7.5,2
TEMAZEPAM 15 MG PO CAPS,,0.100,15,2
TEMAZEPAM 22.5 MG PO CAPS,,0.100,22.5,2
TEMAZEPAM 30 MG PO CAPS,,0.100,30,2
TEMAZEPAM 7.5 MG PO CAPS,,0.100,7.5,2
HALCION 0.125 MG PO TABS,,4.000,0.125,2
HALCION 0.25 MG PO TABS,,4.000,0.25,2
TRIAZOLAM 0.125 MG PO TABS,,4.000,0.125,2
TRIAZOLAM 0.25 MG PO TABS,,4.000,0.25,2
